FIPS,State,County,Unin_children,Per_Unin_children
01000,Alabama,,36123,3
01001,Alabama,Autauga,350,3
01003,Alabama,Baldwin,1857,4
01005,Alabama,Barbour,180,3
01007,Alabama,Bibb,134,3
01009,Alabama,Blount,622,4
01011,Alabama,Bullock,55,3
01013,Alabama,Butler,130,3
01015,Alabama,Calhoun,724,3
01017,Alabama,Chambers,196,3
01019,Alabama,Cherokee,189,4
01021,Alabama,Chilton,485,4
01023,Alabama,Choctaw,108,4
01025,Alabama,Clarke,166,3
01027,Alabama,Clay,128,5
01029,Alabama,Cleburne,145,4
01031,Alabama,Coffee,436,3
01033,Alabama,Colbert,341,3
01035,Alabama,Conecuh,87,3
01037,Alabama,Coosa,80,4
01039,Alabama,Covington,305,4
01041,Alabama,Crenshaw,143,4
01043,Alabama,Cullman,732,4
01045,Alabama,Dale,320,3
01047,Alabama,Dallas,228,2
01049,Alabama,DeKalb,886,5
01051,Alabama,Elmore,568,3
01053,Alabama,Escambia,328,4
01055,Alabama,Etowah,645,3
01057,Alabama,Fayette,125,3
01059,Alabama,Franklin,402,5
01061,Alabama,Geneva,217,4
01063,Alabama,Greene,58,3
01065,Alabama,Hale,106,3
01067,Alabama,Henry,146,4
01069,Alabama,Houston,604,2
01071,Alabama,Jackson,403,4
01073,Alabama,Jefferson,4545,3
01075,Alabama,Lamar,121,4
01077,Alabama,Lauderdale,597,3
01079,Alabama,Lawrence,287,4
01081,Alabama,Lee,1191,3
01083,Alabama,Limestone,804,4
01085,Alabama,Lowndes,62,3
01087,Alabama,Macon,76,2
01089,Alabama,Madison,2586,3
01091,Alabama,Marengo,137,3
01093,Alabama,Marion,221,3
01095,Alabama,Marshall,953,4
01097,Alabama,Mobile,2850,3
01099,Alabama,Monroe,152,3
01101,Alabama,Montgomery,1676,3
01103,Alabama,Morgan,1032,4
01105,Alabama,Perry,53,3
01107,Alabama,Pickens,157,4
01109,Alabama,Pike,214,3
01111,Alabama,Randolph,173,3
01113,Alabama,Russell,380,3
01115,Alabama,St. Clair,639,3
01117,Alabama,Shelby,1362,3
01119,Alabama,Sumter,83,3
01121,Alabama,Talladega,500,3
01123,Alabama,Tallapoosa,305,4
01125,Alabama,Tuscaloosa,1362,3
01127,Alabama,Walker,513,4
01129,Alabama,Washington,171,5
